date,cmg,tan,flsr,rgse
2015-05-13,635.320007,43.697681,56.77,2160.0
2015-05-14,634.530029,44.072887,56.560001,1920.0
2015-05-15,632.369995,44.329121,56.720001,1800.0
2015-05-18,636.099976,44.100338,56.18,1596.0
2015-05-19,636.75,43.487202,55.279999,1728.0
2015-05-20,628.23999,40.101203999999996,54.919998,1536.0
2015-05-21,633.3599849999999,41.181061,55.889998999999996,1500.0
2015-05-22,626.4400019999999,40.513011999999996,55.07,1410.0
2015-05-26,622.159973,40.192715,51.060001,1356.0
2015-05-27,612.5,39.982234999999996,51.279999,1344.0
2015-05-28,629.419983,38.975590000000004,50.75,1440.0
2015-05-29,615.52002,38.884075,49.709998999999996,1428.0
2015-06-01,614.900024,38.325844000000004,49.900002,1500.0
2015-06-02,610.570007,38.289238,50.950001,1470.0
2015-06-03,610.8900150000001,38.206875,50.830002,1458.0
2015-06-04,611.570007,37.831669,49.669998,1458.0
2015-06-05,613.799988,38.298386,51.299999,1470.0
2015-06-08,608.119995,37.547973999999996,49.849998,1494.0
2015-06-09,605.789978,36.651146000000004,49.169998,1488.0
2015-06-10,608.669983,37.502216,50.290001000000004,1638.0
2015-06-11,605.8599849999999,38.920677000000005,50.43,2082.0
2015-06-12,609.76001,38.746803,50.48,1872.0
2015-06-15,604.169983,38.902374,53.48,1854.0
2015-06-16,600.619995,38.847469,52.150002,1752.0
2015-06-17,606.840027,38.893227,51.759997999999996,1872.0
2015-06-18,606.200012,39.140308000000005,51.98,1824.0
2015-06-19,615.3099980000001,39.076252000000004,51.029999,1860.0
2015-06-22,619.25,38.984737,51.110001000000004,1902.0
2015-06-23,615.400024,39.204372,51.490002000000004,1974.0
2015-06-24,610.530029,38.957283000000004,51.360001000000004,2184.0
2015-06-25,607.380005,38.600384000000005,50.970001,2616.0
2015-06-26,609.460022,37.639492,49.950001,1896.0
2015-06-29,600.049988,35.726859999999995,47.84,1596.0
2015-06-30,604.98999,35.891586,46.98,1338.0
2015-07-01,606.570007,35.543831,46.040001000000004,1128.0
2015-07-02,609.5599980000001,35.278442,45.169998,1200.0
2015-07-06,607.169983,33.283446999999995,44.189999,1008.0
2015-07-07,620.5599980000001,33.036365999999994,45.119999,984.0
2015-07-08,612.849976,30.812584,43.27,852.0
2015-07-09,627.159973,32.240196000000005,43.650002,876.0
2015-07-10,639.419983,33.393269000000004,44.029999,942.0
2015-07-13,658.0,34.198586,46.009997999999996,978.0
2015-07-14,655.460022,34.646999,45.810001,906.0
2015-07-15,661.1900019999999,33.914894,44.490002000000004,888.0
2015-07-16,658.460022,34.326702000000004,44.759997999999996,894.0
2015-07-17,661.950012,34.299248,43.950001,900.0
2015-07-20,678.0,34.46397,43.279999,852.0
2015-07-21,673.070007,33.914894,43.48,894.0
2015-07-22,725.820007,33.512234,42.5,924.0
2015-07-23,725.9400019999999,32.835033,42.740002000000004,900.0
2015-07-24,728.789978,32.459827000000004,42.970001,942.0
2015-07-27,731.4400019999999,31.645359000000003,42.27,966.0
2015-07-28,730.780029,32.276802,43.380001,990.0
2015-07-29,738.419983,33.164482,45.540001000000004,990.0
2015-07-30,744.159973,32.990608,45.310001,996.0
2015-07-31,742.22998,32.322559000000005,44.299999,1038.0
2015-08-03,743.039978,31.31591,43.689999,1116.0
2015-08-04,748.090027,31.050521999999997,44.5,1272.0
2015-08-05,757.77002,32.569645,51.919998,1218.0
2015-08-06,749.599976,31.032219,51.200001,1254.0
2015-08-07,749.119995,30.464836,52.080002,1188.0
2015-08-10,744.23999,31.261003000000002,53.48,1068.0
2015-08-11,745.659973,29.998114,51.439999,846.0
2015-08-12,745.97998,30.290956,51.880001,840.0
2015-08-13,743.599976,30.483137,51.110001000000004,786.0
2015-08-14,748.340027,30.355017,51.509997999999996,834.0
2015-08-17,754.030029,30.739373999999998,51.740002000000004,804.0
2015-08-18,745.919983,30.245203000000004,51.630001,762.0
2015-08-19,745.280029,29.147039000000003,49.939999,672.0
2015-08-20,735.150024,27.499798,47.91,588.0
2015-08-21,720.01001,25.761039999999998,45.27,570.0
2015-08-24,704.25,24.72694,43.610001000000004,504.0
2015-08-25,695.3900150000001,25.294321,44.380001,480.0
2015-08-26,707.6400150000001,25.806798999999998,46.09,486.0
2015-08-27,727.169983,27.170348999999998,47.84,648.0
2015-08-28,721.200012,27.545555,47.799999,816.0
2015-08-31,710.01001,27.060534000000004,47.84,750.0
2015-09-01,706.710022,26.419940999999998,47.259997999999996,696.0
2015-09-02,723.869995,26.8409,47.959998999999996,732.0
2015-09-03,724.98999,27.252712,48.290001000000004,708.0
2015-09-04,719.22998,26.621269,46.939999,714.0
2015-09-08,732.1400150000001,27.627917999999998,49.110001000000004,732.0
2015-09-09,718.830017,27.600464000000002,47.73,732.0
2015-09-10,723.1900019999999,27.664521999999998,48.220001,726.0
2015-09-11,729.0599980000001,27.655371000000002,48.790001000000004,732.0
2015-09-14,726.799988,27.280163,46.200001,792.0
2015-09-15,732.080017,27.637068,46.580002,918.0
2015-09-16,730.01001,27.984819,47.759997999999996,816.0
